Date,DayOfWeek,GoingTo,Distance,MaxSpeed,AvgSpeed,TotalTime
10/04/2011,Tuesday,Home,51.15,128.8,76,40.4
10/04/2011,Tuesday,Work,50.67,127.3,94.9,32
10/03/2011,Monday,Home,51.22,126.7,81.2,37.8
10/03/2011,Monday,Work,50.65,127.4,91.1,33.4
9/29/2011,Thursday,Home,51.39,128.4,65.3,47.2
9/29/2011,Thursday,Work,50.65,122.8,83.5,36.4
9/28/2011,Wednesday,Home,51.23,124.9,79.2,38.8
9/28/2011,Wednesday,Work,50.65,128.8,102.2,29.7
9/27/2011,Tuesday,Home,51.11,130.1,69.8,44
9/27/2011,Tuesday,Work,50.65,128.1,,35.2
9/26/2011,Monday,Home,50.69,132.3,97.2,31.3
9/26/2011,Monday,Work,50.65,129.4,,34.4
9/22/2011,Thursday,Home,51.11,124.8,74.3,41.3
9/22/2011,Thursday,Work,50.67,130,,31.1
9/21/2011,Wednesday,Home,51.74,133.3,82.9,37.4
9/21/2011,Wednesday,Work,49.16,128.7,,49.6
9/20/2011,Tuesday,Home,51.23,127.2,71.7,42.9
9/20/2011,Tuesday,Work,51.69,128.7,,44.1
9/19/2011,Monday,Home,51.3,123.9,69.6,44.2
9/19/2011,Monday,Work,49.09,123.7,69.4,42.4
9/15/2011,Thursday,Home,51.13,127.5,69,44.4
9/15/2011,Thursday,Work,50.67,129.3,99,30.7
9/14/2011,Wednesday,Home,51.77,127,71.1,43.7
9/14/2011,Wednesday,Work,50.54,126.8,98.7,30.7
9/13/2011,Tuesday,Home,51.58,134.3,70,44.2
9/13/2011,Tuesday,Work,49.12,129.1,52.7,55.9
09/12/2011,Monday,Home,51.43,131.1,75.1,40.6
09/12/2011,Monday,Work,49.12,127.5,65.7,44.8
09/08/2011,Thursday,Home,50.92,137,66.9,45.6
09/08/2011,Thursday,Work,49.25,124.7,53.5,55.2
09/07/2011,Wednesday,Home,51.34,132.8,71.5,43.1
09/07/2011,Wednesday,Work,49.08,125.1,56.5,52.1
09/06/2011,Tuesday,Home,52.88,131.6,,33.3
09/06/2011,Tuesday,Work,54.36,132.5,,34.3
09/02/2011,Friday,Home,51.17,129.7,77.7,39.5
09/02/2011,Friday,Work,51.65,132.7,82.6,37.5
09/01/2011,Thursday,Home,52.42,128.9,,38.5
09/01/2011,Thursday,Work,49.13,126.8,67.3,43.8
8/31/2011,Wednesday,Home,51.15,140.9,71.5,42.9
8/31/2011,Wednesday,Work,49.07,127.7,65.9,44.7
8/30/2011,Tuesday,Home,51.66,138,67.1,46.2
8/30/2011,Tuesday,Work,49.04,133.5,69.1,42.6
8/29/2011,Monday,Home,51.04,131,,40.5
8/29/2011,Monday,Work,49.15,124,63.9,46.1
8/26/2011,Friday,Home,50.88,132.7,81.1,37.6
8/26/2011,Friday,Work,49.01,129.1,,38.6
8/25/2011,Thursday,Home,51.23,132.8,,47.9
8/25/2011,Thursday,Work,50.45,133.5,106.8,28.3
8/24/2011,Wednesday,Home,51.01,132.9,,38.5
8/24/2011,Wednesday,Work,49.07,127.1,58.5,50.3
8/23/2011,Tuesday,Home,51.22,129.7,79.7,38.5
8/23/2011,Tuesday,Work,49.2,124.5,71,41.6
8/22/2011,Monday,Home,51.12,126.8,77.9,39.6
8/22/2011,Monday,Work,49.18,123.8,65.6,45
8/19/2011,Friday,Home,51.09,126.5,78.1,39.3
8/19/2011,Friday,Work,49.18,123,72,41
8/18/2011,Thursday,Home,50.97,129.6,,45.9
8/18/2011,Thursday,Work,52.26,137.7,,61.2
8/17/2011,Wednesday,Home,51.11,129.8,,44.5
8/17/2011,Wednesday,Work,49.1,124.8,67.9,43.4
8/16/2011,Tuesday,Home,51.14,133.4,82.4,37.2
8/16/2011,Tuesday,Work,49.14,131.7,,39.3
8/15/2011,Monday,Home,51.11,132.3,,39.3
8/15/2011,Monday,Work,49.2,124.7,71.3,41.4
08/12/2011,Friday,Home,55.57,127.7,69.6,47.9
08/12/2011,Friday,Work,49.02,128.4,76.7,38.4
08/11/2011,Thursday,Home,51.18,133.6,,38
08/11/2011,Thursday,Work,48.99,125.5,68.3,43
08/10/2011,Wednesday,Home,51.03,127.4,73.5,41.7
08/10/2011,Wednesday,Work,48.98,124.8,72.8,40.4
08/09/2011,Tuesday,Home,51.15,127.1,72.1,42.5
08/09/2011,Tuesday,Work,49.08,134.8,,48.7
08/08/2011,Monday,Home,52.35,127.5,76.9,40.9
08/08/2011,Monday,Work,49.25,126.3,68.5,43.1
08/05/2011,Friday,Home,51.94,126.7,74.5,41.9
08/05/2011,Friday,Work,49.13,123.9,74.1,39.8
08/04/2011,Thursday,Home,50.96,131.9,,43.5
08/04/2011,Thursday,Work,49.12,122.4,71.5,41.2
08/03/2011,Wednesday,Home,51.64,125,72.2,42.9
08/03/2011,Wednesday,Work,49.06,121.9,71.5,41.2
08/02/2011,Tuesday,Home,51.16,124.2,76.3,40.2
08/02/2011,Tuesday,Work,53.48,124.9,68.8,46.7
7/29/2011,Friday,Home,50.68,135.6,107.7,28.2
7/29/2011,Friday,Work,49.07,121.1,73.2,40.2
7/28/2011,Thursday,Home,51.09,128.5,76,40.3
7/28/2011,Thursday,Work,49.11,120.1,69.1,42.6
7/27/2011,Wednesday,Home,50.98,124.9,68.3,44.8
7/27/2011,Wednesday,Work,48.82,124.5,70.4,41.6
7/26/2011,Tuesday,Home,51.28,122.1,43.7,70.5
7/26/2011,Tuesday,Work,49.16,122.6,71.9,41
7/25/2011,Monday,Home,51.05,126.6,70.4,51.1
7/25/2011,Monday,Work,48.32,121.2,63.4,45.7
7/22/2011,Friday,Home,51.24,126.3,75.8,40.6
7/22/2011,Friday,Work,51.05,123.3,88.9,34.5
7/21/2011,Thursday,Work,48.35,129.3,,35.6
7/20/2011,Wednesday,Home,53.47,124,58.6,54.8
7/20/2011,Wednesday,Work,48.5,125.8,75.7,38.5
7/19/2011,Tuesday,Home,51.16,126.7,92.2,33.3
7/19/2011,Tuesday,Work,50.96,124.3,82.3,37.2
7/18/2011,Monday,Work,54.52,125.6,49.9,65.5
7/14/2011,Thursday,Work,50.9,123.7,76.2,40.1
7/13/2011,Wednesday,Home,51.96,132.6,57.5,54.2
07/12/2011,Tuesday,Home,53.28,125.8,61.6,51.9
07/11/2011,Monday,Home,51.73,125,62.8,49.5
